episode,global_step,elapsed_s,reward_raw,reward_smooth,fill_rate,stockout,cost_holding,cost_stockout,cost_ordering,cost_overflow,cost_service_penalty,cost_total,entropy,approx_kl,clip_frac,value_loss,explained_variance,lr_scale,ent_coef,eval_reward,eval_cost,eval_fill,eval_feasible
65,23725,121.0,-5524043.743055234,-6183352.831802659,0.8376680468976312,75901.71364402771,1386106.1247558594,759017.1369400024,180640.0,2827904.6645507812,370375.8227996826,5524043.749046326,0.798751606752998,0.0016277025457671506,0.011324430760731431,0.058772459087011064,0.7828032970428467,,0.017696000000000003,-3527554.2722465727,2373207.009737134,0.7681493460773011,
66,24090,121.5,-5521091.918043312,-6113913.2241021935,0.8570045228090046,60536.99227333069,1433280.6853027344,605369.9220733643,174140.0,2922806.1892700195,385495.11153030396,5521091.908176422,0.798751606752998,0.0016277025457671506,0.011324430760731431,0.058772459087011064,0.7828032970428467,,0.017696000000000003,-3527554.2722465727,2373207.009737134,0.7681493460773011,
67,24455,122.0,-5296697.706352488,-6022372.744707998,0.8710017952351569,54315.726101875305,1425551.8784179688,543157.2677154541,169440.0,2838736.617248535,319811.9442844391,5296697.707666397,0.798751606752998,0.0016277025457671506,0.011324430760731431,0.058772459087011064,0.7828032970428467,,0.017696000000000003,-3527554.2722465727,2373207.009737134,0.7681493460773011,
68,24820,126.3,-5447632.154951884,-5909286.518995317,0.8564233073382395,68867.27851867676,1370884.8737792969,688672.7818908691,185560.0,2854817.018508911,347697.49029541016,5447632.164474487,0.8233779504110939,0.0017578582275363213,0.010279872957126875,0.04921778418907994,0.7605649828910828,,0.017588,-3527554.2722465727,2373207.009737134,0.7681493460773011,
69,25185,126.9,-5000570.616699207,-5876973.2888997,0.7507618753407832,65443.949820518494,1636754.1086425781,654439.5020217896,148100.0,1883860.662261963,677416.3432006836,5000570.616127014,0.8233779504110939,0.0017578582275363213,0.010279872957126875,0.04921778418907994,0.7605649828910828,,0.017588,-3527554.2722465727,2373207.009737134,0.7681493460773011,
70,25550,127.4,-5093701.341707085,-5763234.937039411,0.8715467193077503,54530.47290635109,1412896.1721191406,545304.7263717651,159165.0,2694101.938659668,282233.5032424927,5093701.340393066,0.8233779504110939,0.0017578582275363213,0.010279872957126875,0.04921778418907994,0.7605649828910828,,0.017588,-3527554.2722465727,2373207.009737134,0.7681493460773011,
71,25915,131.8,-5229632.272437954,-5659693.970268037,0.8536363255900282,70131.47186660767,1360742.0913085938,701314.7152557373,182705.0,2626689.359359741,358181.11476135254,5229632.280685425,0.7506600924228367,0.001568395413510428,0.010137189896532187,0.053651313493518454,0.8179761171340942,,0.017480000000000002,-3527554.2722465727,2373207.009737134,0.7681493460773011,
72,26280,132.3,-5177765.245537769,-5643655.594539612,0.8767925087158552,52663.317244529724,1411973.6179199219,526633.177947998,172855.0,2802588.310394287,263715.14753723145,5177765.2537994385,0.7506600924228367,0.001568395413510428,0.010137189896532187,0.053651313493518454,0.8179761171340942,,0.017480000000000002,-3527554.2722465727,2373207.009737134,0.7681493460773011,
73,26645,136.5,-5102786.923139936,-5552065.505219171,0.8761175197846592,53763.262058734894,1399981.6408691406,537632.623386383,149555.0,2716147.9091644287,299469.7551651001,5102786.9285850525,0.7502329984777852,0.0021528081200525967,0.010955810546875,0.054600802593325316,0.7779407501220703,,0.017408,-3527554.2722465727,2373207.009737134,0.7681493460773011,
74,27010,137.1,-4978530.216824512,-5500854.711516263,0.8825784890189734,50181.37435436249,1398242.7265625,501813.74463653564,148645.0,2685654.5799560547,244174.1868019104,4978530.237957001,0.7502329984777852,0.0021528081200525967,0.010955810546875,0.054600802593325316,0.7779407501220703,,0.017408,-3527554.2722465727,2373207.009737134,0.7681493460773011,
